GENERAL UI/UX	STATUS	PRIORITY
Resizeable HUD window overall like the way you can resize chat window	COMPLETE	n/a
Moveable/scalable UI element with some basic font options	COMPLETE	n/a
Checkboxes for which UI elements you want to show	COMPLETE	n/a
Collapsible groups	COMPLETE	n/a
Option to show/hide headers	COMPLETE	n/a
Hide in combat/raid option	COMPLETE	n/a
Make locking icon more obvious - currently too small and inconspicuous	COMPLETE	n/a
Reset all to default button - default position should be top left below where character pane shows in default WoW UI config	COMPLETE	n/a
More tooltips on menu options to help explain to novices	COMPLETE	n/a
Add Reload UI button to bottom of menu	COMPLETE	n/a
Add a tooltip to the Cogwheel on the hud to read "Open Menu Settings".	COMPLETE	n/a
ID options for Achievement ID, Quest ID, Macro ID are not obviously useful and don't show where i'd expect, consider removing.	COMPLETE	n/a
Add ability to modify opacity	COMPLETE	n/a
Add some default visibility setups to menu options "All Enabled", "Essentials", "Farmer", "Flipper"	INCOMPLETE	MEDIUM
		
CHARACTER & SERVER		
Change section title in HD and Options from Character to "Character and Server"	COMPLETE	n/a
Character Name & Class icon	COMPLETE	n/a
Current Realm Name	COMPLETE	n/a
Has warband access (Yes/no)	COMPLETE	n/a
Current movement speed (a la monkeyspeed) - for use when you're wearing a speed set. Have had a request to change this to 3 decimal places display if possible, to investigate.	COMPLETE	n/a
Display Shard ID after server name. And add option to show/hide in menu	COMPLETE	n/a
Add a custom label that is saved in the account state, a label to identify which Account this is (e.g. WOW1) - menu option off by default	INCOMPLETE	LOW
Add Class Spec Icon	INCOMPLETE	LOW
XP Tracking functionality - Lower Priority - and also perhaps separate module	INCOMPLETE	LOW
		
GOLD & ECONOMY		
Current Character Gold	COMPLETE	n/a
Current Warband Gold	COMPLETE	n/a
Add gold Earned (session)	COMPLETE	n/a
Reset Session button	COMPLETE	n/a
Pause Session button	COMPLETE	n/a
"Enhance gold tracking with 2 options: Simple vs Detailed view for gold tracking, selectable in menu. 
Detailed version to look more like this, whilst retaining the yellow gold icons where relevant and showing the net in red when below zero, and in green when above zero. Also note the replacement of the word Session with a clock icon. The clock icon should also turn red when the session is paused, and show as green when the session is running. The · symbol shown below represents the current gold icon we're using.
[Gold & Economy]
Char: 132,396   WB: 1,234,567  Guild: 820,000
⏱ 42m  Start: 123,456·  Current: 132,396·  (12,320·/h)
Earned:14,200·  Spent:5.300·  Net: 8,000·
Token: 255,000·  ▲"	PARTIALLY COMPLETE	HIGH
Add some kind of additional indicator (perhaps after the timer count) that shows "(Paused)" when tracking is paused either due to AFK or the user pressing the pause session button.	INCOMPLETE	MEDIUM
